Original Extrapolated Smoother  Refactored Extrapolated Smoother
9.9896029208e-01  9.9896029208e-01,
1.0000000000e+00  1.0000000000e+00,
9.9703061585e-01  9.9703061585e-01,
1.0000000000e+00  1.0000000000e+00,
9.9549250316e-01  9.9549250316e-01,
1.0000000000e+00  1.0000000000e+00,
9.9445435809e-01  9.9445435809e-01,
1.0000000000e+00  1.0000000000e+00,
9.9388974419e-01  9.9388974419e-01,
1.0000000000e+00  1.0000000000e+00,
9.9368420636e-01  9.9368420636e-01,
1.0000000000e+00  1.0000000000e+00,
9.9369408368e-01  9.9369408368e-01,
1.0000000000e+00  1.0000000000e+00,
9.9379548144e-01  9.9379548144e-01,
1.0000000000e+00  1.0000000000e+00,
9.9391428961e-01  9.9391428961e-01,
1.0000000000e+00  1.0000000000e+00,
9.9403699963e-01  9.9403699963e-01,
1.0000000000e+00  1.0000000000e+00,
9.9420709821e-01  9.9420709821e-01,
1.0000000000e+00  1.0000000000e+00,
9.9451259931e-01  9.9451259931e-01,
1.0000000000e+00  1.0000000000e+00,
9.9506784821e-01  9.9506784821e-01,
1.0000000000e+00  1.0000000000e+00,
9.9598682623e-01  9.9598682623e-01,
1.0000000000e+00  1.0000000000e+00,
9.9733597604e-01  9.9733597604e-01,
1.0000000000e+00  1.0000000000e+00,
9.9906073329e-01  9.9906073329e-01,
1.0000000000e+00  1.0000000000e+00,
1.0022098636e+00  1.0022098636e+00,
1.0035933701e+00  1.0035933701e+00,
1.0068524799e+00  1.0068524799e+00,
1.0080041373e+00  1.0080041373e+00,
1.0122635658e+00  1.0122635658e+00,
1.0139808611e+00  1.0139808611e+00,
1.0191814530e+00  1.0191814530e+00,
1.0221666435e+00  1.0221666435e+00,
1.0283125006e+00  1.0283125006e+00,
1.0327907866e+00  1.0327907866e+00,
1.0395720349e+00  1.0395720349e+00,
1.0448210728e+00  1.0448210728e+00,
1.0510864671e+00  1.0510864671e+00,
1.0553300516e+00  1.0553300516e+00,
1.0592595848e+00  1.0592595848e+00,
1.0605196360e+00  1.0605196360e+00,
1.0607975388e+00  1.0607975388e+00,
1.0582665045e+00  1.0582665045e+00,
1.0551821621e+00  1.0551821621e+00,
1.0497368787e+00  1.0497368787e+00,
1.0449633296e+00  1.0449633296e+00,
1.0382993217e+00  1.0382993217e+00,
1.0336295861e+00  1.0336295861e+00,
1.0270925629e+00  1.0270925629e+00,
1.0234660127e+00  1.0234660127e+00,
1.0176985476e+00  1.0176985476e+00,
1.0151331293e+00  1.0151331293e+00,
1.0103823227e+00  1.0103823227e+00,
1.0083838521e+00  1.0083838521e+00,
1.0047325481e+00  1.0047325481e+00,
1.0026726696e+00  1.0026726696e+00,
1.0000000000e+00  1.0000000000e+00,
9.9732733040e-01  9.9732733040e-01,
9.9526745195e-01  9.9526745195e-01,
9.9161614792e-01  9.9161614792e-01,
9.8961767735e-01  9.8961767735e-01,
9.8486687066e-01  9.8486687066e-01,
9.8230145239e-01  9.8230145239e-01,
9.7653398732e-01  9.7653398732e-01,
9.7290743706e-01  9.7290743706e-01,
9.6637041393e-01  9.6637041393e-01,
9.6170067832e-01  9.6170067832e-01,
9.5503667035e-01  9.5503667035e-01,
9.5026312131e-01  9.5026312131e-01,
9.4481783792e-01  9.4481783792e-01,
9.4173349553e-01  9.4173349553e-01,
9.3920246118e-01  9.3920246118e-01,
9.3948036402e-01  9.3948036402e-01,
9.4074041525e-01  9.4074041525e-01,
9.4466994836e-01  9.4466994836e-01,
9.4891353293e-01  9.4891353293e-01,
9.5517892724e-01  9.5517892724e-01,
9.6042796508e-01  9.6042796508e-01,
9.6720921342e-01  9.6720921342e-01,
9.7168749943e-01  9.7168749943e-01,
9.7783335647e-01  9.7783335647e-01,
9.8081854702e-01  9.8081854702e-01,
9.8601913890e-01  9.8601913890e-01,
9.8773643422e-01  9.8773643422e-01,
9.9199586269e-01  9.9199586269e-01,
9.9314752006e-01  9.9314752006e-01,
9.9640662988e-01  9.9640662988e-01,
9.9779013641e-01  9.9779013641e-01,
1.0000000000e+00  1.0000000000e+00,
1.0009033950e+00  1.0009033950e+00,
1.0000000000e+00  1.0000000000e+00,
1.0027461747e+00  1.0027461747e+00,
1.0000000000e+00  1.0000000000e+00,
1.0045876124e+00  1.0045876124e+00,
1.0000000000e+00  1.0000000000e+00,
1.0062098066e+00  1.0062098066e+00,
1.0000000000e+00  1.0000000000e+00,
1.0073758185e+00  1.0073758185e+00,
1.0000000000e+00  1.0000000000e+00,
1.0080215590e+00  1.0080215590e+00,
1.0000000000e+00  1.0000000000e+00,
1.0082925778e+00  1.0082925778e+00,
1.0000000000e+00  1.0000000000e+00,
1.0084270372e+00  1.0084270372e+00,
1.0000000000e+00  1.0000000000e+00,
1.0085898754e+00  1.0085898754e+00,
1.0000000000e+00  1.0000000000e+00,
1.0087538047e+00  1.0087538047e+00,
1.0000000000e+00  1.0000000000e+00,
1.0086860675e+00  1.0086860675e+00,
1.0000000000e+00  1.0000000000e+00,
1.0080711192e+00  1.0080711192e+00,
1.0000000000e+00  1.0000000000e+00,
1.0067373169e+00  1.0067373169e+00,
1.0000000000e+00  1.0000000000e+00,
1.0048381554e+00  1.0048381554e+00,
1.0000000000e+00  1.0000000000e+00,
1.0027808846e+00  1.0027808846e+00,
1.0000000000e+00  1.0000000000e+00,
1.0008858919e+00  1.0008858919e+00,
1.0000000000e+00  1.0000000000e+00,
9.9911410810e-01  9.9911410810e-01,
1.0000000000e+00  1.0000000000e+00,
9.9721911543e-01  9.9721911543e-01,
1.0000000000e+00  1.0000000000e+00,
9.9516184458e-01  9.9516184458e-01,
1.0000000000e+00  1.0000000000e+00,
9.9326268311e-01  9.9326268311e-01,
1.0000000000e+00  1.0000000000e+00,
9.9192888084e-01  9.9192888084e-01,
1.0000000000e+00  1.0000000000e+00,
9.9131393252e-01  9.9131393252e-01,
1.0000000000e+00  1.0000000000e+00,
9.9124619531e-01  9.9124619531e-01,
1.0000000000e+00  1.0000000000e+00,
9.9141012462e-01  9.9141012462e-01,
1.0000000000e+00  1.0000000000e+00,
9.9157296276e-01  9.9157296276e-01,
1.0000000000e+00  1.0000000000e+00,
9.9170742222e-01  9.9170742222e-01,
1.0000000000e+00  1.0000000000e+00,
9.9197844099e-01  9.9197844099e-01,
1.0000000000e+00  1.0000000000e+00,
9.9262418151e-01  9.9262418151e-01,
1.0000000000e+00  1.0000000000e+00,
9.9379019343e-01  9.9379019343e-01,
1.0000000000e+00  1.0000000000e+00,
9.9541238763e-01  9.9541238763e-01,
1.0000000000e+00  1.0000000000e+00,
9.9725382535e-01  9.9725382535e-01,
1.0000000000e+00  1.0000000000e+00,
9.9909660498e-01  9.9909660498e-01,
1.0000000000e+00  1.0000000000e+00,
1.0014692755e+00  1.0014692755e+00,
1.0022830504e+00  1.0022830504e+00,
1.0049438881e+00  1.0049438881e+00,
1.0055712456e+00  1.0055712456e+00,
1.0096935148e+00  1.0096935148e+00,
1.0105701778e+00  1.0105701778e+00,
1.0158599515e+00  1.0158599515e+00,
1.0174236581e+00  1.0174236581e+00,
1.0232451616e+00  1.0232451616e+00,
1.0256871449e+00  1.0256871449e+00,
1.0314049832e+00  1.0314049832e+00,
1.0343308260e+00  1.0343308260e+00,
1.0392320839e+00  1.0392320839e+00,
1.0415613543e+00  1.0415613543e+00,
1.0447174912e+00  1.0447174912e+00,
1.0451527804e+00  1.0451527804e+00,
1.0458742652e+00  1.0458742652e+00,
1.0437462851e+00  1.0437462851e+00,
1.0422303963e+00  1.0422303963e+00,
1.0378345327e+00  1.0378345327e+00,
1.0350610989e+00  1.0350610989e+00,
1.0292242509e+00  1.0292242509e+00,
1.0262207001e+00  1.0262207001e+00,
1.0199193202e+00  1.0199193202e+00,
1.0172681941e+00  1.0172681941e+00,
1.0116345236e+00  1.0116345236e+00,
1.0095214293e+00  1.0095214293e+00,
1.0055741749e+00  1.0055741749e+00,
1.0040516634e+00  1.0040516634e+00,
1.0019900450e+00  1.0019900450e+00,
1.0009964224e+00  1.0009964224e+00,
1.0000000000e+00  1.0000000000e+00,
9.9900357762e-01  9.9900357762e-01,
9.9800995504e-01  9.9800995504e-01,
9.9594833656e-01  9.9594833656e-01,
9.9442582513e-01  9.9442582513e-01,
9.9047857070e-01  9.9047857070e-01,
9.8836547638e-01  9.8836547638e-01,
9.8273180589e-01  9.8273180589e-01,
9.8008067979e-01  9.8008067979e-01,
9.7377929985e-01  9.7377929985e-01,
9.7077574914e-01  9.7077574914e-01,
9.6493890109e-01  9.6493890109e-01,
9.6216546726e-01  9.6216546726e-01,
9.5776960367e-01  9.5776960367e-01,
9.5625371493e-01  9.5625371493e-01,
9.5412573483e-01  9.5412573483e-01,
9.5484721963e-01  9.5484721963e-01,
9.5528250876e-01  9.5528250876e-01,
9.5843864572e-01  9.5843864572e-01,
9.6076791615e-01  9.6076791615e-01,
9.6566917404e-01  9.6566917404e-01,
9.6859501678e-01  9.6859501678e-01,
9.7431285513e-01  9.7431285513e-01,
9.7675483837e-01  9.7675483837e-01,
9.8257634189e-01  9.8257634189e-01,
9.8414004854e-01  9.8414004854e-01,
9.8942982221e-01  9.8942982221e-01,
9.9030648521e-01  9.9030648521e-01,
9.9442875445e-01  9.9442875445e-01,
9.9505611186e-01  9.9505611186e-01,
9.9771694965e-01  9.9771694965e-01,
9.9853072450e-01  9.9853072450e-01,
1.0000000000e+00  1.0000000000e+00,
1.0004156408e+00  1.0004156408e+00,
1.0000000000e+00  1.0000000000e+00,
1.0015792102e+00  1.0015792102e+00,
1.0000000000e+00  1.0000000000e+00,
1.0033752618e+00  1.0033752618e+00,
1.0000000000e+00  1.0000000000e+00,
1.0053850104e+00  1.0053850104e+00,
1.0000000000e+00  1.0000000000e+00,
1.0068366640e+00  1.0068366640e+00,
1.0000000000e+00  1.0000000000e+00,
1.0072928774e+00  1.0072928774e+00,
1.0000000000e+00  1.0000000000e+00,
1.0069961721e+00  1.0069961721e+00,
1.0000000000e+00  1.0000000000e+00,
1.0066223711e+00  1.0066223711e+00,
1.0000000000e+00  1.0000000000e+00,
